id;path;tlist;usr_id;traj_id;vflag;start_time
107.0;[59565242049, 595652383, 5956523252, 5956524535, 59565241375, 5956523164, 595652326, 59566241109, 5956523545, 5956523735, 595652147, 59565241038, 5956523502, 595653314, 595653385, 5956532299, 59565341809, 5956533746, 5956633143, 595663123, 59566331489, 595663149, 595663399, 5956633100, 59566344878];[1704042023, 1704042023, 1704042200, 1704042254, 1704042353, 1704042440, 1704042509, 1704042573, 1704042617, 1704042626, 1704042743, 1704042804, 1704042835, 1704042915, 1704042978, 1704043046, 1704043099, 1704043171, 1704043228, 1704043293, 1704043370, 1704043422, 1704043467, 1704043528, 1704043642];1.0;107.0;1.0;2024-01-01
108.0;[59566344907, 5956643292, 59566344878, 59566342051, 5956643687, 5956643686, 59566442149, 5956642179, 595664136, 59566442012, 5956642199, 5956641315, 5956641315];[1704088480, 1704088480, 1704089228, 1704089560, 1704089691, 1704089709, 1704089776, 1704089834, 1704089923, 1704089957, 1704090085, 1704090158, 1704090211];1.0;108.0;1.0;2024-01-01
109.0;[59566344907, 59566344878, 59566345031, 59566344878];[1704074663, 1704074663, 1704075998, 1704076072];1.0;109.0;1.0;2024-01-01
110.0;[59566344907, 59566344878, 5956643292];[1704044153, 1704044153, 1704045751];1.0;110.0;1.0;2024-01-01
111.0;[59566344878, 5956643292, 59566344878];[1704066475, 1704066475, 1704068144];1.0;111.0;1.0;2024-01-01
112.0;[59566344878, 59566345031, 5956634976, 59566331310];[1704077747, 1704077747, 1704078344, 1704078938];1.0;112.0;1.0;2024-01-01
113.0;[59566344907, 59566344878, 59566345031, 59566344878];[1704074663, 1704074663, 1704075998, 1704076072];1.0;113.0;1.0;2024-01-01
114.0;[59566344907, 5956643292, 59566344878, 59566342051, 5956643687, 5956643686, 59566442149, 5956642179, 595664136, 59566442012, 5956642199, 5956641315, 5956641315];[1704088480, 1704088480, 1704089228, 1704089560, 1704089691, 1704089709, 1704089776, 1704089834, 1704089923, 1704089957, 1704090085, 1704090158, 1704090211];1.0;114.0;1.0;2024-01-01
115.0;[59566331310, 5956643292, 59566344907];[1704086438, 1704086438, 1704087202];1.0;115.0;1.0;2024-01-01
116.0;[59566344907, 5956643292, 59566344878, 59566342051, 5956643687, 5956643686, 59566442149, 5956642179, 595664136, 59566442012, 5956642199, 5956641315, 5956641315];[1704088480, 1704088480, 1704089228, 1704089560, 1704089691, 1704089709, 1704089776, 1704089834, 1704089923, 1704089957, 1704090085, 1704090158, 1704090211];1.0;116.0;1.0;2024-01-01
117.0;[59566344907, 59566344878, 5956643292];[1704044153, 1704044153, 1704045751];1.0;117.0;1.0;2024-01-01
118.0;[59566441551, 5956643100, 5956643507, 5956643508, 5956643708, 59566441944, 5956642179, 5956644952, 5956643378, 5956642223, 59566441872, 595654210, 595654212, 5956543303, 595653211, 59565341560, 59565323, 5956532338, 5956532164, 5956533312, 59565341393, 5956532353, 5956533668, 5956523290, 59565242129, 5956522276, 5956523395, 5956523505, 595652383];[1704040201, 1704040201, 1704040263, 1704040294, 1704040384, 1704040442, 1704040502, 1704040557, 1704040612, 1704040672, 1704040747, 1704040807, 1704040869, 1704040912, 1704040996, 1704041052, 1704041087, 1704041158, 1704041292, 1704041334, 1704041414, 1704041462, 1704041529, 1704041598, 1704041659, 1704041709, 1704041772, 1704041804, 1704041965];1.0;118.0;1.0;2024-01-01
119.0;[59566344878, 59566345031, 5956634976, 59566331310];[1704077747, 1704077747, 1704078344, 1704078938];1.0;119.0;1.0;2024-01-01
120.0;[59566344907, 59566344878, 5956643292];[1704044153, 1704044153, 1704045751];1.0;120.0;1.0;2024-01-01
121.0;[59565242049, 595652383, 5956523252, 5956524535, 59565241375, 5956523164, 595652326, 59566241109, 5956523545, 5956523735, 595652147, 59565241038, 5956523502, 595653314, 595653385, 5956532299, 59565341809, 5956533746, 5956633143, 595663123, 59566331489, 595663149, 595663399, 5956633100, 59566344878];[1704042023, 1704042023, 1704042200, 1704042254, 1704042353, 1704042440, 1704042509, 1704042573, 1704042617, 1704042626, 1704042743, 1704042804, 1704042835, 1704042915, 1704042978, 1704043046, 1704043099, 1704043171, 1704043228, 1704043293, 1704043370, 1704043422, 1704043467, 1704043528, 1704043642];1.0;121.0;1.0;2024-01-01
122.0;[59566441551, 5956643100, 5956643507, 5956643508, 5956643708, 59566441944, 5956642179, 5956644952, 5956643378, 5956642223, 59566441872, 595654210, 595654212, 5956543303, 595653211, 59565341560, 59565323, 5956532338, 5956532164, 5956533312, 59565341393, 5956532353, 5956533668, 5956523290, 59565242129, 5956522276, 5956523395, 5956523505, 595652383];[1704040201, 1704040201, 1704040263, 1704040294, 1704040384, 1704040442, 1704040502, 1704040557, 1704040612, 1704040672, 1704040747, 1704040807, 1704040869, 1704040912, 1704040996, 1704041052, 1704041087, 1704041158, 1704041292, 1704041334, 1704041414, 1704041462, 1704041529, 1704041598, 1704041659, 1704041709, 1704041772, 1704041804, 1704041965];1.0;122.0;1.0;2024-01-01
123.0;[59566441551, 5956643100, 5956643507, 5956643508, 5956643708, 59566441944, 5956642179, 5956644952, 5956643378, 5956642223, 59566441872, 595654210, 595654212, 5956543303, 595653211, 59565341560, 59565323, 5956532338, 5956532164, 5956533312, 59565341393, 5956532353, 5956533668, 5956523290, 59565242129, 5956522276, 5956523395, 5956523505, 595652383];[1704040201, 1704040201, 1704040263, 1704040294, 1704040384, 1704040442, 1704040502, 1704040557, 1704040612, 1704040672, 1704040747, 1704040807, 1704040869, 1704040912, 1704040996, 1704041052, 1704041087, 1704041158, 1704041292, 1704041334, 1704041414, 1704041462, 1704041529, 1704041598, 1704041659, 1704041709, 1704041772, 1704041804, 1704041965];1.0;123.0;1.0;2024-01-01
124.0;[59565242049, 595652383, 5956523252, 5956524535, 59565241375, 5956523164, 595652326, 59566241109, 5956523545, 5956523735, 595652147, 59565241038, 5956523502, 595653314, 595653385, 5956532299, 59565341809, 5956533746, 5956633143, 595663123, 59566331489, 595663149, 595663399, 5956633100, 59566344878];[1704042023, 1704042023, 1704042200, 1704042254, 1704042353, 1704042440, 1704042509, 1704042573, 1704042617, 1704042626, 1704042743, 1704042804, 1704042835, 1704042915, 1704042978, 1704043046, 1704043099, 1704043171, 1704043228, 1704043293, 1704043370, 1704043422, 1704043467, 1704043528, 1704043642];1.0;124.0;1.0;2024-01-01
125.0;[59566441551, 5956643100, 5956643507, 5956643508, 5956643708, 59566441944, 5956642179, 5956644952, 5956643378, 5956642223, 59566441872, 595654210, 595654212, 5956543303, 595653211, 59565341560, 59565323, 5956532338, 5956532164, 5956533312, 59565341393, 5956532353, 5956533668, 5956523290, 59565242129, 5956522276, 5956523395, 5956523505, 595652383];[1704040201, 1704040201, 1704040263, 1704040294, 1704040384, 1704040442, 1704040502, 1704040557, 1704040612, 1704040672, 1704040747, 1704040807, 1704040869, 1704040912, 1704040996, 1704041052, 1704041087, 1704041158, 1704041292, 1704041334, 1704041414, 1704041462, 1704041529, 1704041598, 1704041659, 1704041709, 1704041772, 1704041804, 1704041965];1.0;125.0;1.0;2024-01-01
126.0;[59566344907, 5956643292, 59566344878, 59566342051, 5956643687, 5956643686, 59566442149, 5956642179, 595664136, 59566442012, 5956642199, 5956641315, 5956641315];[1704088480, 1704088480, 1704089228, 1704089560, 1704089691, 1704089709, 1704089776, 1704089834, 1704089923, 1704089957, 1704090085, 1704090158, 1704090211];1.0;126.0;1.0;2024-01-01
127.0;[59565242049, 595652383, 5956523252, 5956524535, 59565241375, 5956523164, 595652326, 59566241109, 5956523545, 5956523735, 595652147, 59565241038, 5956523502, 595653314, 595653385, 5956532299, 59565341809, 5956533746, 5956633143, 595663123, 59566331489, 595663149, 595663399, 5956633100, 59566344878];[1704042023, 1704042023, 1704042200, 1704042254, 1704042353, 1704042440, 1704042509, 1704042573, 1704042617, 1704042626, 1704042743, 1704042804, 1704042835, 1704042915, 1704042978, 1704043046, 1704043099, 1704043171, 1704043228, 1704043293, 1704043370, 1704043422, 1704043467, 1704043528, 1704043642];1.0;127.0;1.0;2024-01-01
128.0;[59566331310, 5956643292, 59566344907];[1704086438, 1704086438, 1704087202];1.0;128.0;1.0;2024-01-01
